Individual,site,region,0.1mb,1mb,5mb,10mb,20mb,total
BEN_CI15,Kanha,north,440368350,126692098,25808408,0,0,2258851657
BEN_CI16,Kanha,north,865515372,605349502,181530655,28692954,0,2258851657
BEN_CI18,Kanha,north,416398696,136137466,38070625,11031967,0,2258851657
BEN_CI19,Kanha,north,261143653,19331582,0,0,0,2258851657
BEN_CI3,Kanha,north,398407865,283981626,155525840,46897226,0,2258851657
BEN_CI4,Kanha,north,506748544,236041387,104090260,43041760,0,2258851657
BEN_CI5,Kanha,north,358814659,69692045,0,0,0,2258851657
BEN_CI6,Kanha,north,456569955,151936868,21065684,0,0,2258851657
BEN_NE1,kaziranga,north-east,423100976,166400029,42590878,0,0,2258851657
BEN_NE2,kaziranga,north-east,1174630426,940717217,530655104,225258620,0,2258851657
BEN_NE3,kaziranga,north-east,937520336,660034862,120619572,0,0,2258851657
BEN_NOR1,corbett,north,592060124,195671234,10264666,0,0,2258851657
BEN_NOR2,corbett,north,770086648,454089524,246131286,138525293,26244453,2258851657
BEN_NW10,ranthambore,ranthambore,1229664069,900740504,132542235,26161242,0,2258851657
BEN_NW11,ranthambore,ranthambore,950413379,686507416,223660941,71380489,0,2258851657
BEN_NW12,ranthambore,ranthambore,1231795407,1004742561,450731581,104315936,0,2258851657
BEN_NW13,ranthambore,ranthambore,1138285233,794110605,168598231,0,0,2258851657
BEN_NW14,ranthambore,ranthambore,1190952996,1013411477,604593367,309432754,91769935,2258851657
BEN_NW17,ranthambore,ranthambore,1085802823,829662817,302504919,62835928,0,2258851657
BEN_NW18,ranthambore,ranthambore,1300736006,1057858485,419736115,112910004,0,2258851657
BEN_NW19,ranthambore,ranthambore,1036331080,804008725,401270179,163384228,20329248,2258851657
BEN_NW20,ranthambore,ranthambore,1022278981,480585167,20145732,0,0,2258851657
BEN_NW24,ranthambore,ranthambore,1113494396,811866698,136025985,11382437,0,2258851657
BEN_NW3,ranthambore,ranthambore,1240123254,1032325566,650586474,292360857,27560355,2258851657
BEN_NW4,ranthambore,ranthambore,1186222475,1027531223,726395580,485935121,143436947,2258851657
BEN_NW5,ranthambore,ranthambore,918585062,676618822,363881902,123509523,20044791,2258851657
BEN_NW55,ranthambore,ranthambore,1073214798,539117107,28680652,0,0,2258851657
BEN_NW57,ranthambore,ranthambore,1103120235,464759138,11710122,0,0,2258851657
BEN_NW6,ranthambore,ranthambore,946435718,697907953,210609704,28528150,0,2258851657
BEN_NW8,ranthambore,ranthambore,1156984240,881908202,244971755,20509828,0,2258851657
BEN_NW9,ranthambore,ranthambore,1203200533,986810961,452514255,180887170,25398003,2258851657
BEN_SI1,wayanad,south,799698739,454357413,157962679,29215217,0,2258851657
BEN_SI11,wayanad,south,612648765,371646958,79360521,24859848,0,2258851657
BEN_SI3,wayanad,south,847325564,501350981,174036342,48428148,0,2258851657
BEN_SI5,periyar,south,1299687777,955027634,199059351,20984813,0,2258851657
BEN_SI6,wayanad,south,864453508,544779022,227188927,64949424,20150991,2258851657
BEN_SI8,wayanad,south,1029030472,728722353,353612433,141078949,0,2258851657
BEN_SI9,wayanad,south,745820153,406320764,142101063,25384488,0,2258851657
LGS,central,north,638009894,233237750,17758740,0,0,2258851657
ZSB_01,zoo,zoo,635855373,379832040,215742997,90151923,20612035,2258851657
ZSB_02,zoo,zoo,865053483,604232763,159765941,25690478,0,2258851657
ZSB_03,zoo,zoo,827799945,586390689,193771501,44746628,0,2258851657
ZSB_04,zoo,zoo,799476794,497174669,48550593,0,0,2258851657
ZSB_05,zoo,zoo,784467789,538203963,197257022,52344017,0,2258851657